dt,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day
1990-01-03,18.19,358.76001,192330000.0,2809.73,23.62,2858.699951,-0.229917,7.89,3,100.359178207312,75.4080505371094,359.690002
1990-01-04,19.22,355.670013,177000000.0,2796.08,24.37,2868.0,-0.246065,7.84,3,100.359178207312,56.0858039855957,358.76001
1990-01-05,20.11,352.200012,158530000.0,2773.25,20.29,2839.899902,-0.260393,7.79,3,100.359178207312,63.8476753234863,355.670013
1990-01-08,20.26,353.790009,140110000.0,2794.37,16.61,2816.0,-0.29175,7.79,3,100.359178207312,102.841156005859,352.200012
1990-01-09,22.2,349.619995,155210000.0,2766.0,15.8,2822.0,-0.297326,7.8,3,100.359178207312,138.435668945312,353.790009
1990-01-10,22.44,347.309998,175990000.0,2750.64,19.95,2868.0,-0.300341,7.75,3,100.359178207312,103.517738342285,349.619995
1990-01-11,20.05,348.529999,154390000.0,2760.67,15.79,2855.0,-0.300796,7.8,3,100.359178207312,77.2074661254883,347.309998
1990-01-12,24.64,339.929993,183880000.0,2689.21,24.18,2835.0,-0.298692,7.74,3,100.359178207312,69.9548492431641,348.529999
1990-01-15,26.34,337.0,140590000.0,2669.37,18.63,2788.600098,-0.277353,7.74,3,100.359178207312,101.842697143555,339.929993
1990-01-16,24.18,340.75,186070000.0,2692.62,25.0,2751.800049,-0.265677,7.89,3,100.359178207312,78.4039688110352,337.0
1990-01-17,24.16,337.399994,170470000.0,2659.13,21.31,2754.800049,-0.251768,7.97,3,100.359178207312,86.1650543212891,340.75
1990-01-18,24.34,338.190002,178590000.0,2666.38,22.75,2771.699951,-0.235623,8.04,3,100.359178207312,65.5953979492188,337.399994
1990-01-19,22.5,339.149994,185590000.0,2677.9,23.36,2776.300049,-0.217234,8.0,3,100.359178207312,96.365608215332,338.190002
1990-01-22,26.7,330.380005,148380000.0,2600.45,20.06,2771.699951,-0.150139,7.99,3,100.359178207312,69.1226043701172,339.149994
1990-01-23,24.72,331.609985,179300000.0,2615.32,22.52,2762.5,-0.125918,7.93,3,100.359178207312,121.305297851562,330.380005
